WARNING 2018-08-31 21:37:29,985 base 152 Not Found: /verifications/imagecodes/525d5e68-a878-4236-91e8-555a9f66ef0e/
WARNING 2018-08-31 21:37:30,024 basehttp 124 "GET /verifications/imagecodes/525d5e68-a878-4236-91e8-555a9f66ef0e/ HTTP/1.1" 404 2220
WARNING 2018-08-31 21:37:31,748 base 152 Not Found: /verifications/imagecodes/efc3c086-bce3-4680-bd0e-7041ccc3cea0/
WARNING 2018-08-31 21:37:31,776 basehttp 124 "GET /verifications/imagecodes/efc3c086-bce3-4680-bd0e-7041ccc3cea0/ HTTP/1.1" 404 2220
WARNING 2018-08-31 21:37:41,946 base 152 Not Found: /verifications/imagecodes/711fb667-72eb-4489-8b35-370f8c3fffac/
WARNING 2018-08-31 21:37:41,966 basehttp 124 "GET /verifications/imagecodes/711fb667-72eb-4489-8b35-370f8c3fffac/ HTTP/1.1" 404 2220
WARNING 2018-08-31 21:37:45,256 base 152 Not Found: /verifications/imagecodes/aa32b2df-e413-4b2b-adfc-ce135f442cdc/
WARNING 2018-08-31 21:37:45,274 basehttp 124 "GET /verifications/imagecodes/aa32b2df-e413-4b2b-adfc-ce135f442cdc/ HTTP/1.1" 404 2220
WARNING 2018-08-31 21:38:11,960 base 152 Not Found: /verifications/imagecodes/151a114a-a1be-46b8-b8f3-7b13bdd03435/
WARNING 2018-08-31 21:38:11,989 basehttp 124 "GET /verifications/imagecodes/151a114a-a1be-46b8-b8f3-7b13bdd03435/ HTTP/1.1" 404 2220
WARNING 2018-08-31 21:38:14,403 base 152 Not Found: /verifications/imagecodes/576bd244-bab7-4fd3-8bc5-f74ad7275c7e/
WARNING 2018-08-31 21:38:14,415 basehttp 124 "GET /verifications/imagecodes/576bd244-bab7-4fd3-8bc5-f74ad7275c7e/ HTTP/1.1" 404 2220
WARNING 2018-08-31 21:38:17,962 base 152 Not Found: /verifications/imagecodes/12fdd8ea-54cf-4c0a-afd1-6a8543fce821/
WARNING 2018-08-31 21:38:17,969 basehttp 124 "GET /verifications/imagecodes/12fdd8ea-54cf-4c0a-afd1-6a8543fce821/ HTTP/1.1" 404 2220
WARNING 2018-08-31 21:40:16,687 base 152 Not Found: /
WARNING 2018-08-31 21:40:16,699 basehttp 124 "GET / HTTP/1.1" 404 2016
WARNING 2018-08-31 21:40:16,900 base 152 Not Found: /favicon.ico
WARNING 2018-08-31 21:40:16,916 basehttp 124 "GET /favicon.ico HTTP/1.1" 404 2067
WARNING 2018-08-31 21:40:27,044 base 152 Not Found: /users
WARNING 2018-08-31 21:40:27,054 basehttp 124 "GET /users HTTP/1.1" 404 2049
WARNING 2018-08-31 21:40:58,653 base 152 Not Found: //verifications/imagecodes/
WARNING 2018-08-31 21:40:58,667 basehttp 124 "GET //verifications/imagecodes/ HTTP/1.1" 404 2112
WARNING 2018-08-31 21:41:01,641 base 152 Not Found: //verifications/imagecodes/1
WARNING 2018-08-31 21:41:01,661 basehttp 124 "GET //verifications/imagecodes/1 HTTP/1.1" 404 2115
WARNING 2018-08-31 21:41:03,195 base 152 Not Found: //verifications/imagecodes/1
WARNING 2018-08-31 21:41:03,220 basehttp 124 "GET //verifications/imagecodes/1 HTTP/1.1" 404 2115
WARNING 2018-08-31 21:44:37,239 base 152 Not Found: /
WARNING 2018-08-31 21:44:37,250 basehttp 124 "GET / HTTP/1.1" 404 2131
WARNING 2018-08-31 21:44:41,954 base 152 Not Found: /
WARNING 2018-08-31 21:44:41,976 basehttp 124 "GET / HTTP/1.1" 404 2131
WARNING 2018-08-31 21:45:07,292 base 152 Not Found: /verifications/
WARNING 2018-08-31 21:45:07,307 basehttp 124 "GET /verifications/ HTTP/1.1" 404 2297
WARNING 2018-08-31 21:45:15,983 base 152 Not Found: /verifications/12
WARNING 2018-08-31 21:45:16,006 basehttp 124 "GET /verifications/12 HTTP/1.1" 404 2303
WARNING 2018-08-31 21:45:19,938 base 152 Not Found: /verifications/12
WARNING 2018-08-31 21:45:19,955 basehttp 124 "GET /verifications/12 HTTP/1.1" 404 2303
INFO 2018-08-31 21:45:51,253 basehttp 124 "GET /admin/ HTTP/1.1" 302 0
INFO 2018-08-31 21:45:51,421 basehttp 124 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1652
INFO 2018-08-31 21:45:51,480 basehttp 124 "GET /static/admin/css/login.css HTTP/1.1" 200 1203
